cisp;mes;ano;munic;regiao;roubo_veiculo;flag
1;1;2003;Rio de Janeiro;Capital;5;mais ou menos
4;1;2003;Rio de Janeiro;Capital;9;mais ou menos
5;1;2003;Rio de Janeiro;Capital;11;mais ou menos
6;1;2003;Rio de Janeiro;Capital;27;mais
7;1;2003;Rio de Janeiro;Capital;23;mais ou menos
9;1;2003;Rio de Janeiro;Capital;30;mais
10;1;2003;Rio de Janeiro;Capital;20;mais ou menos
12;1;2003;Rio de Janeiro;Capital;3;mais ou menos
13;1;2003;Rio de Janeiro;Capital;6;mais ou menos
14;1;2003;Rio de Janeiro;Capital;19;mais ou menos
15;1;2003;Rio de Janeiro;Capital;9;mais ou menos
16;1;2003;Rio de Janeiro;Capital;48;mais
17;1;2003;Rio de Janeiro;Capital;33;mais
18;1;2003;Rio de Janeiro;Capital;42;mais
19;1;2003;Rio de Janeiro;Capital;64;mais
20;1;2003;Rio de Janeiro;Capital;47;mais
21;1;2003;Rio de Janeiro;Capital;166;mais
22;1;2003;Rio de Janeiro;Capital;131;mais
23;1;2003;Rio de Janeiro;Capital;124;mais
24;1;2003;Rio de Janeiro;Capital;78;mais
25;1;2003;Rio de Janeiro;Capital;118;mais
26;1;2003;Rio de Janeiro;Capital;0;menos
27;1;2003;Rio de Janeiro;Capital;148;mais
28;1;2003;Rio de Janeiro;Capital;54;mais
29;1;2003;Rio de Janeiro;Capital;45;mais
30;1;2003;Rio de Janeiro;Capital;96;mais
31;1;2003;Rio de Janeiro;Capital;3;mais ou menos
32;1;2003;Rio de Janeiro;Capital;52;mais
33;1;2003;Rio de Janeiro;Capital;62;mais
34;1;2003;Rio de Janeiro;Capital;93;mais
35;1;2003;Rio de Janeiro;Capital;93;mais
36;1;2003;Rio de Janeiro;Capital;26;mais
37;1;2003;Rio de Janeiro;Capital;82;mais
38;1;2003;Rio de Janeiro;Capital;142;mais
39;1;2003;Rio de Janeiro;Capital;135;mais
40;1;2003;Rio de Janeiro;Capital;70;mais
41;1;2003;Rio de Janeiro;Capital;56;mais
44;1;2003;Rio de Janeiro;Capital;105;mais
48;1;2003;Seropédica;Baixada Fluminense;5;mais ou menos
50;1;2003;Itaguaí;Baixada Fluminense;4;mais ou menos
51;1;2003;Paracambi;Baixada Fluminense;4;mais ou menos
52;1;2003;Nova Iguaçu;Baixada Fluminense;67;mais
53;1;2003;Mesquita;Baixada Fluminense;16;mais ou menos
54;1;2003;Belford Roxo;Baixada Fluminense;43;mais
55;1;2003;"Queimados;Japeri";Baixada Fluminense;5;mais ou menos
56;1;2003;Nova Iguaçu;Baixada Fluminense;30;mais
57;1;2003;Nilópolis;Baixada Fluminense;46;mais
58;1;2003;Nova Iguaçu;Baixada Fluminense;43;mais
59;1;2003;Duque de Caxias;Baixada Fluminense;203;mais
60;1;2003;Duque de Caxias;Baixada Fluminense;37;mais
61;1;2003;Duque de Caxias;Baixada Fluminense;5;mais ou menos
62;1;2003;Duque de Caxias;Baixada Fluminense;22;mais ou menos
64;1;2003;São João de Meriti;Baixada Fluminense;70;mais
65;1;2003;"Magé;Guapimirim";Baixada Fluminense;5;mais ou menos
66;1;2003;Magé;Baixada Fluminense;11;mais ou menos
71;1;2003;"Itaboraí;Tanguá";Interior;31;mais
72;1;2003;São Gonçalo;Grande Niterói;34;mais
73;1;2003;São Gonçalo;Grande Niterói;25;mais
74;1;2003;São Gonçalo;Grande Niterói;33;mais
75;1;2003;São Gonçalo;Grande Niterói;18;mais ou menos
76;1;2003;Niterói;Grande Niterói;28;mais
77;1;2003;Niterói;Grande Niterói;26;mais
78;1;2003;Niterói;Grande Niterói;20;mais ou menos
79;1;2003;Niterói;Grande Niterói;2;mais ou menos
81;1;2003;Niterói;Grande Niterói;12;mais ou menos
82;1;2003;Maricá;Grande Niterói;2;mais ou menos
88;1;2003;Barra do Pirai;Interior;2;mais ou menos
89;1;2003;Resende;Interior;3;mais ou menos
90;1;2003;Barra Mansa;Interior;5;mais ou menos
91;1;2003;Valença;Interior;0;menos
92;1;2003;Rio das Flores;Interior;0;menos
93;1;2003;Volta Redonda;Interior;15;mais ou menos
94;1;2003;"Piraí;Pinheiral";Interior;3;mais ou menos
95;1;2003;Vassouras;Interior;1;mais ou menos
96;1;2003;"Miguel Pereira;Paty dos Alferes";Interior;1;mais ou menos
97;1;2003;Mendes;Interior;0;menos
98;1;2003;Engenheiro Paulo de Frontin;Interior;0;menos
99;1;2003;Itatiaia;Interior;0;menos
100;1;2003;"Porto Real;Quatis";Interior;0;menos
104;1;2003;São José do Vale do Rio Preto;Interior;0;menos
105;1;2003;Petrópolis;Interior;3;mais ou menos
106;1;2003;Petrópolis;Interior;0;menos
107;1;2003;Paraíba do Sul;Interior;2;mais ou menos
108;1;2003;"Comendador Levy Gasparian;Areal;Três Rios";Interior;3;mais ou menos
109;1;2003;Sapucaia;Interior;1;mais ou menos
110;1;2003;Teresópolis;Interior;3;mais ou menos
111;1;2003;Sumidouro;Interior;0;menos
112;1;2003;Carmo;Interior;0;menos
118;1;2003;Araruama;Interior;4;mais ou menos
119;1;2003;Rio Bonito;Interior;7;mais ou menos
120;1;2003;Silva Jardim;Interior;1;mais ou menos
121;1;2003;Casimiro de Abreu;Interior;3;mais ou menos
122;1;2003;Conceição de Macabú;Interior;2;mais ou menos
123;1;2003;"Macaé;Quissamã;Carapebus";Interior;12;mais ou menos
124;1;2003;Saquarema;Interior;2;mais ou menos
125;1;2003;São Pedro da Aldeia;Interior;3;mais ou menos
126;1;2003;"Cabo Frio;Arraial do Cabo";Interior;9;mais ou menos
127;1;2003;Armação dos Búzios;Interior;2;mais ou menos
128;1;2003;Rio das Ostras;Interior;7;mais ou menos
129;1;2003;Iguaba Grande;Interior;1;mais ou menos
134;1;2003;Campos dos Goytacazes;Interior;7;mais ou menos
135;1;2003;Itaocara;Interior;0;menos
136;1;2003;"Santo Antônio de Pádua;Aperibé";Interior;0;menos
137;1;2003;Miracema;Interior;0;menos
138;1;2003;Laje do Muriaé;Interior;0;menos
139;1;2003;Porciúncula;Interior;0;menos
140;1;2003;"Natividade;Varre-Sai";Interior;0;menos
141;1;2003;São Fidélis;Interior;0;menos
142;1;2003;Cambuci;Interior;1;mais ou menos
143;1;2003;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";Interior;1;mais ou menos
144;1;2003;Bom Jesus de Itabapoana;Interior;0;menos
145;1;2003;São João da Barra;Interior;0;menos
146;1;2003;"Campos dos Goytacazes;São Francisco de Itabapoana";Interior;6;mais ou menos
151;1;2003;Nova Friburgo;Interior;1;mais ou menos
152;1;2003;Duas Barras;Interior;0;menos
153;1;2003;Cantagalo;Interior;0;menos
154;1;2003;"Cordeiro;Macuco";Interior;0;menos
155;1;2003;São Sebastião do Alto;Interior;0;menos
156;1;2003;Santa Maria Madalena;Interior;0;menos
157;1;2003;Trajano de Morais;Interior;0;menos
158;1;2003;Bom Jardim;Interior;0;menos
159;1;2003;Cachoeiras de Macacu;Interior;0;menos
165;1;2003;Mangaratiba;Interior;1;mais ou menos
166;1;2003;Angra dos Reis;Interior;1;mais ou menos
167;1;2003;Paraty;Interior;1;mais ou menos
168;1;2003;Rio Claro;Interior;0;menos
1;2;2003;Rio de Janeiro;Capital;9;mais ou menos
4;2;2003;Rio de Janeiro;Capital;5;mais ou menos
5;2;2003;Rio de Janeiro;Capital;3;mais ou menos
6;2;2003;Rio de Janeiro;Capital;30;mais
7;2;2003;Rio de Janeiro;Capital;16;mais ou menos
9;2;2003;Rio de Janeiro;Capital;24;mais
10;2;2003;Rio de Janeiro;Capital;9;mais ou menos
12;2;2003;Rio de Janeiro;Capital;4;mais ou menos
13;2;2003;Rio de Janeiro;Capital;5;mais ou menos
14;2;2003;Rio de Janeiro;Capital;23;mais ou menos
15;2;2003;Rio de Janeiro;Capital;5;mais ou menos
16;2;2003;Rio de Janeiro;Capital;45;mais
17;2;2003;Rio de Janeiro;Capital;43;mais
18;2;2003;Rio de Janeiro;Capital;42;mais
19;2;2003;Rio de Janeiro;Capital;34;mais
20;2;2003;Rio de Janeiro;Capital;56;mais
21;2;2003;Rio de Janeiro;Capital;178;mais
22;2;2003;Rio de Janeiro;Capital;127;mais
23;2;2003;Rio de Janeiro;Capital;120;mais
24;2;2003;Rio de Janeiro;Capital;84;mais
25;2;2003;Rio de Janeiro;Capital;92;mais
26;2;2003;Rio de Janeiro;Capital;0;menos
27;2;2003;Rio de Janeiro;Capital;120;mais
28;2;2003;Rio de Janeiro;Capital;71;mais
29;2;2003;Rio de Janeiro;Capital;76;mais
30;2;2003;Rio de Janeiro;Capital;86;mais
31;2;2003;Rio de Janeiro;Capital;4;mais ou menos
32;2;2003;Rio de Janeiro;Capital;50;mais
33;2;2003;Rio de Janeiro;Capital;60;mais
34;2;2003;Rio de Janeiro;Capital;104;mais
35;2;2003;Rio de Janeiro;Capital;105;mais
36;2;2003;Rio de Janeiro;Capital;33;mais
37;2;2003;Rio de Janeiro;Capital;110;mais
38;2;2003;Rio de Janeiro;Capital;124;mais
39;2;2003;Rio de Janeiro;Capital;119;mais
40;2;2003;Rio de Janeiro;Capital;51;mais
41;2;2003;Rio de Janeiro;Capital;48;mais
44;2;2003;Rio de Janeiro;Capital;82;mais
48;2;2003;Seropédica;Baixada Fluminense;18;mais ou menos
50;2;2003;Itaguaí;Baixada Fluminense;6;mais ou menos
51;2;2003;Paracambi;Baixada Fluminense;1;mais ou menos
52;2;2003;Nova Iguaçu;Baixada Fluminense;68;mais
53;2;2003;Mesquita;Baixada Fluminense;16;mais ou menos
54;2;2003;Belford Roxo;Baixada Fluminense;35;mais
55;2;2003;"Queimados;Japeri";Baixada Fluminense;14;mais ou menos
56;2;2003;Nova Iguaçu;Baixada Fluminense;40;mais
57;2;2003;Nilópolis;Baixada Fluminense;37;mais
58;2;2003;Nova Iguaçu;Baixada Fluminense;45;mais
59;2;2003;Duque de Caxias;Baixada Fluminense;171;mais
60;2;2003;Duque de Caxias;Baixada Fluminense;49;mais
61;2;2003;Duque de Caxias;Baixada Fluminense;10;mais ou menos
62;2;2003;Duque de Caxias;Baixada Fluminense;23;mais ou menos
64;2;2003;São João de Meriti;Baixada Fluminense;66;mais
65;2;2003;"Magé;Guapimirim";Baixada Fluminense;8;mais ou menos
66;2;2003;Magé;Baixada Fluminense;4;mais ou menos
71;2;2003;"Itaboraí;Tanguá";Interior;29;mais
72;2;2003;São Gonçalo;Grande Niterói;35;mais
73;2;2003;São Gonçalo;Grande Niterói;14;mais ou menos
74;2;2003;São Gonçalo;Grande Niterói;40;mais
75;2;2003;São Gonçalo;Grande Niterói;13;mais ou menos
76;2;2003;Niterói;Grande Niterói;33;mais
77;2;2003;Niterói;Grande Niterói;14;mais ou menos
78;2;2003;Niterói;Grande Niterói;28;mais
79;2;2003;Niterói;Grande Niterói;13;mais ou menos
81;2;2003;Niterói;Grande Niterói;3;mais ou menos
82;2;2003;Maricá;Grande Niterói;3;mais ou menos
88;2;2003;Barra do Pirai;Interior;0;menos
89;2;2003;Resende;Interior;5;mais ou menos
90;2;2003;Barra Mansa;Interior;13;mais ou menos
91;2;2003;Valença;Interior;0;menos
92;2;2003;Rio das Flores;Interior;1;mais ou menos
93;2;2003;Volta Redonda;Interior;13;mais ou menos
94;2;2003;"Piraí;Pinheiral";Interior;4;mais ou menos
95;2;2003;Vassouras;Interior;1;mais ou menos
96;2;2003;"Miguel Pereira;Paty dos Alferes";Interior;1;mais ou menos
97;2;2003;Mendes;Interior;0;menos
98;2;2003;Engenheiro Paulo de Frontin;Interior;0;menos
99;2;2003;Itatiaia;Interior;2;mais ou menos
100;2;2003;"Porto Real;Quatis";Interior;0;menos
104;2;2003;São José do Vale do Rio Preto;Interior;0;menos
105;2;2003;Petrópolis;Interior;3;mais ou menos
106;2;2003;Petrópolis;Interior;0;menos
107;2;2003;Paraíba do Sul;Interior;0;menos
108;2;2003;"Comendador Levy Gasparian;Areal;Três Rios";Interior;8;mais ou menos
109;2;2003;Sapucaia;Interior;1;mais ou menos
110;2;2003;Teresópolis;Interior;3;mais ou menos
111;2;2003;Sumidouro;Interior;0;menos
112;2;2003;Carmo;Interior;1;mais ou menos
118;2;2003;Araruama;Interior;4;mais ou menos
119;2;2003;Rio Bonito;Interior;6;mais ou menos
120;2;2003;Silva Jardim;Interior;4;mais ou menos
121;2;2003;Casimiro de Abreu;Interior;1;mais ou menos
122;2;2003;Conceição de Macabú;Interior;0;menos
123;2;2003;"Macaé;Quissamã;Carapebus";Interior;14;mais ou menos
124;2;2003;Saquarema;Interior;1;mais ou menos
125;2;2003;São Pedro da Aldeia;Interior;4;mais ou menos
126;2;2003;"Cabo Frio;Arraial do Cabo";Interior;7;mais ou menos
127;2;2003;Armação dos Búzios;Interior;0;menos
128;2;2003;Rio das Ostras;Interior;7;mais ou menos
129;2;2003;Iguaba Grande;Interior;1;mais ou menos
134;2;2003;Campos dos Goytacazes;Interior;9;mais ou menos
135;2;2003;Itaocara;Interior;0;menos
136;2;2003;"Santo Antônio de Pádua;Aperibé";Interior;0;menos
137;2;2003;Miracema;Interior;0;menos
138;2;2003;Laje do Muriaé;Interior;0;menos
139;2;2003;Porciúncula;Interior;0;menos
140;2;2003;"Natividade;Varre-Sai";Interior;0;menos
141;2;2003;São Fidélis;Interior;1;mais ou menos
142;2;2003;Cambuci;Interior;1;mais ou menos
143;2;2003;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";Interior;4;mais ou menos
144;2;2003;Bom Jesus de Itabapoana;Interior;0;menos
145;2;2003;São João da Barra;Interior;0;menos
146;2;2003;"Campos dos Goytacazes;São Francisco de Itabapoana";Interior;5;mais ou menos
151;2;2003;Nova Friburgo;Interior;3;mais ou menos
152;2;2003;Duas Barras;Interior;0;menos
153;2;2003;Cantagalo;Interior;0;menos
154;2;2003;"Cordeiro;Macuco";Interior;0;menos
155;2;2003;São Sebastião do Alto;Interior;0;menos
156;2;2003;Santa Maria Madalena;Interior;0;menos
157;2;2003;Trajano de Morais;Interior;0;menos
158;2;2003;Bom Jardim;Interior;0;menos
159;2;2003;Cachoeiras de Macacu;Interior;3;mais ou menos
165;2;2003;Mangaratiba;Interior;1;mais ou menos
166;2;2003;Angra dos Reis;Interior;3;mais ou menos
167;2;2003;Paraty;Interior;1;mais ou menos
168;2;2003;Rio Claro;Interior;0;menos
1;3;2003;Rio de Janeiro;Capital;2;mais ou menos
4;3;2003;Rio de Janeiro;Capital;11;mais ou menos
5;3;2003;Rio de Janeiro;Capital;7;mais ou menos
6;3;2003;Rio de Janeiro;Capital;39;mais
7;3;2003;Rio de Janeiro;Capital;15;mais ou menos
9;3;2003;Rio de Janeiro;Capital;22;mais ou menos
10;3;2003;Rio de Janeiro;Capital;14;mais ou menos
12;3;2003;Rio de Janeiro;Capital;3;mais ou menos
13;3;2003;Rio de Janeiro;Capital;2;mais ou menos
14;3;2003;Rio de Janeiro;Capital;15;mais ou menos
15;3;2003;Rio de Janeiro;Capital;2;mais ou menos
16;3;2003;Rio de Janeiro;Capital;53;mais
17;3;2003;Rio de Janeiro;Capital;40;mais
18;3;2003;Rio de Janeiro;Capital;48;mais
19;3;2003;Rio de Janeiro;Capital;25;mais
20;3;2003;Rio de Janeiro;Capital;44;mais
21;3;2003;Rio de Janeiro;Capital;149;mais
22;3;2003;Rio de Janeiro;Capital;143;mais
23;3;2003;Rio de Janeiro;Capital;86;mais
24;3;2003;Rio de Janeiro;Capital;99;mais
25;3;2003;Rio de Janeiro;Capital;75;mais
26;3;2003;Rio de Janeiro;Capital;0;menos
27;3;2003;Rio de Janeiro;Capital;126;mais
28;3;2003;Rio de Janeiro;Capital;66;mais
29;3;2003;Rio de Janeiro;Capital;79;mais
30;3;2003;Rio de Janeiro;Capital;85;mais
31;3;2003;Rio de Janeiro;Capital;4;mais ou menos
32;3;2003;Rio de Janeiro;Capital;46;mais
33;3;2003;Rio de Janeiro;Capital;56;mais
34;3;2003;Rio de Janeiro;Capital;101;mais
35;3;2003;Rio de Janeiro;Capital;87;mais
36;3;2003;Rio de Janeiro;Capital;44;mais
37;3;2003;Rio de Janeiro;Capital;90;mais
38;3;2003;Rio de Janeiro;Capital;121;mais
39;3;2003;Rio de Janeiro;Capital;87;mais
40;3;2003;Rio de Janeiro;Capital;43;mais
41;3;2003;Rio de Janeiro;Capital;44;mais
44;3;2003;Rio de Janeiro;Capital;80;mais
48;3;2003;Seropédica;Baixada Fluminense;7;mais ou menos
50;3;2003;Itaguaí;Baixada Fluminense;9;mais ou menos
51;3;2003;Paracambi;Baixada Fluminense;0;menos
52;3;2003;Nova Iguaçu;Baixada Fluminense;71;mais
53;3;2003;Mesquita;Baixada Fluminense;17;mais ou menos
54;3;2003;Belford Roxo;Baixada Fluminense;42;mais
55;3;2003;"Queimados;Japeri";Baixada Fluminense;13;mais ou menos
56;3;2003;Nova Iguaçu;Baixada Fluminense;29;mais
57;3;2003;Nilópolis;Baixada Fluminense;36;mais
58;3;2003;Nova Iguaçu;Baixada Fluminense;43;mais
59;3;2003;Duque de Caxias;Baixada Fluminense;143;mais
60;3;2003;Duque de Caxias;Baixada Fluminense;30;mais
61;3;2003;Duque de Caxias;Baixada Fluminense;5;mais ou menos
62;3;2003;Duque de Caxias;Baixada Fluminense;22;mais ou menos
64;3;2003;São João de Meriti;Baixada Fluminense;61;mais
65;3;2003;"Magé;Guapimirim";Baixada Fluminense;7;mais ou menos
66;3;2003;Magé;Baixada Fluminense;6;mais ou menos
71;3;2003;"Itaboraí;Tanguá";Interior;20;mais ou menos
72;3;2003;São Gonçalo;Grande Niterói;32;mais
73;3;2003;São Gonçalo;Grande Niterói;16;mais ou menos
74;3;2003;São Gonçalo;Grande Niterói;32;mais
75;3;2003;São Gonçalo;Grande Niterói;9;mais ou menos
76;3;2003;Niterói;Grande Niterói;16;mais ou menos
77;3;2003;Niterói;Grande Niterói;25;mais
78;3;2003;Niterói;Grande Niterói;29;mais
79;3;2003;Niterói;Grande Niterói;10;mais ou menos
81;3;2003;Niterói;Grande Niterói;8;mais ou menos
82;3;2003;Maricá;Grande Niterói;11;mais ou menos
88;3;2003;Barra do Pirai;Interior;2;mais ou menos
89;3;2003;Resende;Interior;4;mais ou menos
90;3;2003;Barra Mansa;Interior;6;mais ou menos
91;3;2003;Valença;Interior;0;menos
92;3;2003;Rio das Flores;Interior;0;menos
93;3;2003;Volta Redonda;Interior;12;mais ou menos
94;3;2003;"Piraí;Pinheiral";Interior;5;mais ou menos
95;3;2003;Vassouras;Interior;1;mais ou menos
96;3;2003;"Miguel Pereira;Paty dos Alferes";Interior;0;menos
97;3;2003;Mendes;Interior;0;menos
98;3;2003;Engenheiro Paulo de Frontin;Interior;0;menos
99;3;2003;Itatiaia;Interior;1;mais ou menos
100;3;2003;"Porto Real;Quatis";Interior;0;menos
104;3;2003;São José do Vale do Rio Preto;Interior;0;menos
105;3;2003;Petrópolis;Interior;2;mais ou menos
106;3;2003;Petrópolis;Interior;1;mais ou menos
107;3;2003;Paraíba do Sul;Interior;0;menos
108;3;2003;"Comendador Levy Gasparian;Areal;Três Rios";Interior;3;mais ou menos
109;3;2003;Sapucaia;Interior;4;mais ou menos
110;3;2003;Teresópolis;Interior;3;mais ou menos
111;3;2003;Sumidouro;Interior;0;menos
112;3;2003;Carmo;Interior;0;menos
118;3;2003;Araruama;Interior;7;mais ou menos
119;3;2003;Rio Bonito;Interior;5;mais ou menos
120;3;2003;Silva Jardim;Interior;4;mais ou menos
121;3;2003;Casimiro de Abreu;Interior;2;mais ou menos
122;3;2003;Conceição de Macabú;Interior;0;menos
123;3;2003;"Macaé;Quissamã;Carapebus";Interior;7;mais ou menos
124;3;2003;Saquarema;Interior;4;mais ou menos
125;3;2003;São Pedro da Aldeia;Interior;3;mais ou menos
126;3;2003;"Cabo Frio;Arraial do Cabo";Interior;11;mais ou menos
127;3;2003;Armação dos Búzios;Interior;3;mais ou menos
128;3;2003;Rio das Ostras;Interior;5;mais ou menos
129;3;2003;Iguaba Grande;Interior;0;menos
134;3;2003;Campos dos Goytacazes;Interior;7;mais ou menos
135;3;2003;Itaocara;Interior;0;menos
136;3;2003;"Santo Antônio de Pádua;Aperibé";Interior;1;mais ou menos
137;3;2003;Miracema;Interior;1;mais ou menos
138;3;2003;Laje do Muriaé;Interior;0;menos
139;3;2003;Porciúncula;Interior;0;menos
140;3;2003;"Natividade;Varre-Sai";Interior;0;menos
141;3;2003;São Fidélis;Interior;1;mais ou menos
142;3;2003;Cambuci;Interior;0;menos
143;3;2003;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";Interior;0;menos
144;3;2003;Bom Jesus de Itabapoana;Interior;0;menos
145;3;2003;São João da Barra;Interior;0;menos
146;3;2003;"Campos dos Goytacazes;São Francisco de Itabapoana";Interior;4;mais ou menos
151;3;2003;Nova Friburgo;Interior;6;mais ou menos
152;3;2003;Duas Barras;Interior;0;menos
153;3;2003;Cantagalo;Interior;1;mais ou menos
154;3;2003;"Cordeiro;Macuco";Interior;0;menos
155;3;2003;São Sebastião do Alto;Interior;0;menos
156;3;2003;Santa Maria Madalena;Interior;0;menos
157;3;2003;Trajano de Morais;Interior;0;menos
158;3;2003;Bom Jardim;Interior;1;mais ou menos
159;3;2003;Cachoeiras de Macacu;Interior;0;menos
165;3;2003;Mangaratiba;Interior;1;mais ou menos
166;3;2003;Angra dos Reis;Interior;2;mais ou menos
167;3;2003;Paraty;Interior;1;mais ou menos
168;3;2003;Rio Claro;Interior;0;menos
1;4;2003;Rio de Janeiro;Capital;8;mais ou menos
4;4;2003;Rio de Janeiro;Capital;12;mais ou menos
5;4;2003;Rio de Janeiro;Capital;1;mais ou menos
6;4;2003;Rio de Janeiro;Capital;37;mais
7;4;2003;Rio de Janeiro;Capital;13;mais ou menos
9;4;2003;Rio de Janeiro;Capital;25;mais
10;4;2003;Rio de Janeiro;Capital;12;mais ou menos
12;4;2003;Rio de Janeiro;Capital;7;mais ou menos
13;4;2003;Rio de Janeiro;Capital;2;mais ou menos
14;4;2003;Rio de Janeiro;Capital;12;mais ou menos
15;4;2003;Rio de Janeiro;Capital;7;mais ou menos
16;4;2003;Rio de Janeiro;Capital;51;mais
17;4;2003;Rio de Janeiro;Capital;25;mais
18;4;2003;Rio de Janeiro;Capital;33;mais
19;4;2003;Rio de Janeiro;Capital;21;mais ou menos
20;4;2003;Rio de Janeiro;Capital;49;mais
21;4;2003;Rio de Janeiro;Capital;176;mais
22;4;2003;Rio de Janeiro;Capital;118;mais
23;4;2003;Rio de Janeiro;Capital;105;mais
24;4;2003;Rio de Janeiro;Capital;87;mais
25;4;2003;Rio de Janeiro;Capital;99;mais
26;4;2003;Rio de Janeiro;Capital;0;menos
